,Charity & Donations,Entertainment & Recreation,Financial Services,Food & Dining,Government & Legal,Healthcare & Medical,Income,Shopping & Retail,Transportation,Utilities & Services
Charity & Donations,8026,0,0,0,0,0,0,0,0,0
Entertainment & Recreation,0,19978,0,0,0,0,0,0,0,0
Financial Services,0,0,15927,0,0,0,0,0,0,0
Food & Dining,0,0,0,40093,0,0,0,0,0,0
Government & Legal,0,0,0,0,9967,0,0,0,0,0
Healthcare & Medical,0,0,0,0,0,16049,0,0,0,0
Income,0,0,0,0,0,0,14005,0,0,0
Shopping & Retail,0,0,0,0,0,0,0,35988,0,0
Transportation,0,0,0,0,0,0,0,0,23869,0
Utilities & Services,0,0,0,0,0,0,0,0,0,16098
